"Country","CountryCode","CountryCodeID","ProductID","ProductName","Unit","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"China","CN",195,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,43.59,85,97,98,99.4,99.9,99.9,91.0318614269817,83.3111814938469,67.0648570931479,43.3662978410768,21.3784504937216,9.64425860696108,2.99642216736804,0.619209303189578,0.0328482806624036,1.44897276483563e-05
"Costa Rica","RI",340,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,21,68.9,71,82.2,86.54,93.8,93,96.4814086700359,98.1968530805591,99.204077086401,99.7360383698516,99.9458247858854,99.9954454890257,99.9999185105782,99.9999998913722,99.9999999999981,100
"Croatia","CR",204,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",13.9,23,45,98,96.85,98.31,98.5,99.44,99.53,99.6453536910797,99.9419080828654,99.9965386585086,99.9999615176965,99.9999999721063,99.9999999999998,100,100,100,100
"Cyprus","CY",208,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,60,73,96,97.53,99.6,99.93,99.9999678742559,100,100,100,100,100,100,100,100,100
"Czech Republic","CS",205,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,92.1,98.7,99.7,99.8,99.8,99.8,99.8,93.6871758381653,93.2392831013161,92.7624362303059,92.2551144877125,91.7157672223545,91.14282105079,90.5346883267576,89.8897769884704,89.2065018627197,88.4832974892559
"Denmark","DK",214,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",83.08,99.5,99.5,99.99,100,100,100,100,100,94.9313241214036,95.0617475650251,95.1891757668195,95.3136690672736,95.4352869786007,95.5540881756486,95.6701304881365,95.7834708941569,95.8941655148787,96.0022696103935
"Dominican Republic","DR",216,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",3.1,4,10,86.4,86.4,90.43,93.72,95.35,96.64,96.766359966765,98.2372323121191,99.1627723523534,99.677837091399,99.9100881692361,99.9929527073189,99.9995163253216,99.9999887285375,99.9999999430126,99.9999999999667
"Ecuador","EC",230,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,28.19,49.63,50.96,58.75,70.87,83.07,90.98,91.5658084957704,94.9009633497855,97.0095402633711,98.3095072410429,99.0954675377432,99.5592391061733,99.8188652269945,99.9459324757051,99.9911631713665,99.9994539488338
"Egypt","EG",232,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,0,0,61,89,95.1,96,99.9738385866849,99.9999999810337,100,100,100,100,100,100,100,100
"Estonia","ET",237,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",70,97,100,100,99,99,99,99,99,93.7748278180255,93.8165718421175,93.858055469258,93.899280079534,93.9402470489907,93.9809577495951,94.0214135492016,94.0616158115184,94.1015658960742,94.1412651581858
