CountryName,CountryCode,CountryCodeID,ProductID,ProductName,Unit,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,ColourCode
Georgia,GG,248,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,35.10928439,50.08229129,61.38058578,69.6344839,76.05216601,83.46689072,88.79840008,91.32513089,93.38477971,94.77577585,95.72734624,97.6369873,99,99.12283395,99.22350193,99.30796867,99.38017805,99.44285815,99.49796481,99.54694176,99.59088086,99.63062507,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCCCCGCCCCCCCCCCCCCCCxxxxxxxxxx
Ghana,GH,249,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.769273976,8.332363942,16.59441996,26.52620516,35,36,38,40,53.53677657,70,75,82.28382437,87.42341862,91.10854627,94.15993118,96.02824326,97.10676816,97.77766872,98.20665851,99.17756681,99.26920937,99.34689344,99.41385827,99.47238885,99.52414962,99.57038544,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCGGGGCGGCCCCCCCCCCCCCCCxxxxxxxxxx
Greece,GR,254,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,14.13922767,25.86613822,37.62351018,47.8951603,57.92805469,67.06070929,74.5,96,98,98,98.7,98.7,99.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Guatemala,GT,255,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00761598,7.340513035,17.75322545,30.20946952,42.2149441,53,86,92,92,94.81971605,96.94529316,98.03073581,98.65955867,99.02924927,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
"Hong Kong, China",HK,259,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,53.92330341,69.14663878,79.81311943,87.29371331,92.59966872,96.34568355,99,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Hungary,HU,261,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,19.18365204,31.11785958,42.00068086,52.01385293,61.64261139,70,79,66,71,97.4,98.26081025,98.4,99.12283395,99.22350193,99.30796867,99.38017805,99.44285815,99.49796481,99.54694176,99.59088086,99.63062507,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCGGGGGCGCCCCCCCCCCCCCCCCxxxxxxxxxx
Iceland,IC,262,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37425169,32.48833574,43.24226666,53.38970353,63,75.875,87,92,96,96,96,98,99,99.12283395,99.22350193,99.30796867,99.38017805,99.44285815,99.49796481,99.54694176,99.59088086,99.63062507,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCGCGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Indonesia,ID,263,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.338687741,8.441005504,14.75660962,22.12873244,30.12554691,37.85983952,44.35877821,49.96736583,55.1631702,60,70.12252474,78.48148434,84.95833316,89.19728006,92.40534274,95.10876174,96.64145774,97.54839735,98.10920178,98.46371153,99.36143632,99.42650646,99.48352683,99.53406231,99.57928907,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCCCCGCCCCCCCCCCCCCCCxxxxxxxxxx
Ireland,IE,264,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,36.94679365,52.77082818,65.41778689,75.78149391,83.13488325,89,91.44444444,93.88888889,95,95,95,95,95,96.64897036,97.59251981,98.16808061,98.52741371,99.44285815,99.49796481,99.54694176,99.59088086,99.63062507,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCGCCGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
India,IN,265,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.08,4.97485515,12.08033626,21.45853409,32.79168236,44.91270411,55.40634193,65.709459,75.0183557,82.15091892,87.62585671,91.08959542,94.00613855,96.16150789,97.30741296,97.99733783,98.42563137,99.43796003,99.49363537,99.54307614,99.58739894,99.62746444,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCGGGCCCCCCCCCCCCCCCCCCCCCxxxxxxxxxx
