Indicator,Country,2012_value,2013_value,2014_value,2015_value
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Sierra Leone,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Singapore,,,,100
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Slovakia,,24,52,75
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Slovenia,12.8,63.4,89.7,97.7
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Solomon Islands,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Somalia,22,49,50,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,South Africa,,,34,54
Percentage of the population covered by at least an LTE/WiMAX mobile network.,South Sudan,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Spain,,,75,75
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Sri Lanka,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Helena,,,,90
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Kitts and Nevis,,,0,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Lucia,,,0,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Maarten,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Pierre & Miquelon,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,St. Vincent and the Grenadines,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Sudan,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Suriname,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Swaziland,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Sweden,93.26,99.19,99.45,99.99
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Switzerland,20,85,98,98
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Syria,,,,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,TFYR Macedonia,,,,71
Percentage of the population covered by at least an LTE/WiMAX mobile network.,"Taiwan, Province of China",,,99.3,99.45
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tajikistan,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tanzania,,,,13
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Thailand,,,,21
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Timor-Leste,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Togo,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tokelau,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tonga,,,,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Trinidad & Tobago,,,,65
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tunisia,,,0,0
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Turkey,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Turkmenistan,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Turks & Caicos Is.,,,,95
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Tuvalu,,,,
Percentage of the population covered by at least an LTE/WiMAX mobile network.,Uganda,,,,4
